title,artist_name,writer,gender,year,writer_is_artist,artist_gender,title_artist_name,Songwriter is Artist
The Devil Went Down To Georgia,The Charlie Daniels Band,Tom Crain,m,1979,,m,The Devil Went Down To Georgia by The Charlie Daniels Band,
In The Navy,Village People,Victor Willis,m,1979,,m,In The Navy by Village People,
Y.M.C.A.,Village People,Victor Willis,m,1979,,m,Y.M.C.A. by Village People,
It's Still Rock And Roll To Me,Billy Joel,Billy Joel,m,1980,,m,It's Still Rock And Roll To Me by Billy Joel,1
Against The Wind,Bob Seger,Bob Seger,m,1980,,m,Against The Wind by Bob Seger,1
Hungry Heart,Bruce Springsteen,Bruce Springsteen,m,1980,,m,Hungry Heart by Bruce Springsteen,1
Sailing,Christopher Cross,Christopher Cross,m,1980,,m,Sailing by Christopher Cross,1
Little Jeannie,Elton John,ELTON JOHN,m,1980,,m,Little Jeannie by Elton John,1
(Just Like) Starting Over,John Lennon,John Lennon,m,1980,,m,(Just Like) Starting Over by John Lennon,1
Love On The Rocks,Neil Diamond,Neil Diamond,m,1980,,m,Love On The Rocks by Neil Diamond,1
Cruisin',Smokey Robinson,Smokey Robinson,m,1980,,m,Cruisin' by Smokey Robinson,1
Master Blaster (Jammin'),Stevie Wonder,Stevie Wonder,m,1980,,m,Master Blaster (Jammin') by Stevie Wonder,1
Special Lady,"Ray, Goodman & Brown",ALBERT GOODMAN,m,1980,,m,"Special Lady by Ray, Goodman & Brown",
Desire,Andy Gibb,BARRY ALAN GIBB,m,1980,,m,Desire by Andy Gibb,
Coward Of The County,Kenny Rogers,BILLY EDD WHEELER,m,1980,,m,Coward Of The County by Kenny Rogers,
Lookin' For Love,Johnny Lee,Bob Morrison,m,1980,,m,Lookin' For Love by Johnny Lee,
Drivin' My Life Away,Eddie Rabbitt,BRUCE NOEL STEVENS,m,1980,,m,Drivin' My Life Away by Eddie Rabbitt,
Ride Like The Wind,Christopher Cross,CHRISTOPHER C CROSS,m,1980,,m,Ride Like The Wind by Christopher Cross,
Sexy Eyes,Dr. Hook,CHRISTOPHER WATERS DUNN,m,1980,,m,Sexy Eyes by Dr. Hook,
All Out Of Love,Air Supply,CLIVE J DAVIS,m,1980,,m,All Out Of Love by Air Supply,
Longer,Dan Fogelberg,DANIEL FOGELBERG,m,1980,,m,Longer by Dan Fogelberg,
Drivin' My Life Away,Eddie Rabbitt,DAVID E MALLOY,m,1980,,m,Drivin' My Life Away by Eddie Rabbitt,
Biggest Part Of Me,Ambrosia,DAVID ROBERT PACK,m,1980,,m,Biggest Part Of Me by Ambrosia,
Drivin' My Life Away,Eddie Rabbitt,EDWARD T RABBITT,m,1980,,m,Drivin' My Life Away by Eddie Rabbitt,
Crazy Little Thing Called Love,Queen,Freddie Mercury,m,1980,,m,Crazy Little Thing Called Love by Queen,
Little Jeannie,Elton John,GARY ANTHONY OSBORNE,m,1980,,m,Little Jeannie by Elton John,
Too Hot,Kool & The Gang,GEORGE M BROWN,m,1980,,m,Too Hot by Kool & The Gang,
Love On The Rocks,Neil Diamond,Gilbert Bécaud,m,1980,,m,Love On The Rocks by Neil Diamond,
All Out Of Love,Air Supply,GRAHAM RUSSELL,m,1980,,m,All Out Of Love by Air Supply,
Lost In Love,Air Supply,GRAHAM RUSSELL,m,1980,,m,Lost In Love by Air Supply,
Special Lady,"Ray, Goodman & Brown",HARRY RAY,m,1980,,m,"Special Lady by Ray, Goodman & Brown",
More Than I Can Say,Leo Sayer,Jerry Allison,m,1980,,m,More Than I Can Say by Leo Sayer,
Another One Bites The Dust,Queen,John Deacon,m,1980,,m,Another One Bites The Dust by Queen,
Emotional Rescue,The Rolling Stones,KEITH RICHARDS,m,1980,,m,Emotional Rescue by The Rolling Stones,
Sexy Eyes,Dr. Hook,KEITH STEGALL,m,1980,,m,Sexy Eyes by Dr. Hook,
Special Lady,"Ray, Goodman & Brown",LEE WALTER,m,1980,,m,"Special Lady by Ray, Goodman & Brown",
Shining Star,The Manhattans,LEO JR GRAHAM,m,1980,,m,Shining Star by The Manhattans,
Lady,Kenny Rogers,Lionel Richie,m,1980,,m,Lady by Kenny Rogers,
Cruisin',Smokey Robinson,Marvin Tarplin,m,1980,,m,Cruisin' by Smokey Robinson,
Desire,Andy Gibb,MAURICE ERNEST GIBB,m,1980,,m,Desire by Andy Gibb,
Cupid/I've Loved You For A Long Time,The Spinners,MICHAEL JAMES ZAGER,m,1980,,m,Cupid/I've Loved You For A Long Time by The Spinners,
"Working My Way Back To You/Forgive Me, Girl",The Spinners,MICHAEL JAMES ZAGER,m,1980,,m,"Working My Way Back To You/Forgive Me, Girl by The Spinners",
Real Love,The Doobie Brothers,Michael McDonald,m,1980,,m,Real Love by The Doobie Brothers,
Emotional Rescue,The Rolling Stones,MICHAEL PHILLIP JAGGER,m,1980,,m,Emotional Rescue by The Rolling Stones,
Real Love,The Doobie Brothers,Patrick Henderson,m,1980,,m,Real Love by The Doobie Brothers,
Shining Star,The Manhattans,PAUL EDWARD RICHMOND,m,1980,,m,Shining Star by The Manhattans,
Sexy Eyes,Dr. Hook,ROBERT J MATHER,m,1980,,m,Sexy Eyes by Dr. Hook,
Desire,Andy Gibb,ROBIN HUGH GIBB,m,1980,,m,Desire by Andy Gibb,
Rock With You,Michael Jackson,Rod Temperton,m,1980,,m,Rock With You by Michael Jackson,
Give Me The Night,George Benson,Rodney Lynn Temperton,m,1980,,m,Give Me The Night by George Benson,
Coward Of The County,Kenny Rogers,ROGER DALE BOWLING,m,1980,,m,Coward Of The County by Kenny Rogers,
Another Brick In The Wall (Part II),Pink Floyd,Roger Waters,m,1980,,m,Another Brick In The Wall (Part II) by Pink Floyd,
More Than I Can Say,Leo Sayer,Sonny Curtis,m,1980,,m,More Than I Can Say by Leo Sayer,
Arthur's Theme (Best That You Can Do),Christopher Cross,Christopher Cross,m,1981,,m,Arthur's Theme (Best That You Can Do) by Christopher Cross,1
I Can't Go For That (No Can Do),Daryl Hall John Oates,Daryl Hall,m,1981,,m,I Can't Go For That (No Can Do) by Daryl Hall John Oates,1
Kiss On My List,Daryl Hall John Oates,Daryl Hall,m,1981,,m,Kiss On My List by Daryl Hall John Oates,1
Private Eyes,Daryl Hall John Oates,Daryl Hall,m,1981,,m,Private Eyes by Daryl Hall John Oates,1
I Love A Rainy Night,Eddie Rabbitt,Eddie Rabbitt,m,1981,,m,I Love A Rainy Night by Eddie Rabbitt,1
All Those Years Ago,George Harrison,George Harrison,m,1981,,m,All Those Years Ago by George Harrison,1
Woman,John Lennon,JOHN LENNON,m,1981,,m,Woman by John Lennon,1
I Can't Go For That (No Can Do),Daryl Hall John Oates,John Oates,m,1981,,m,I Can't Go For That (No Can Do) by Daryl Hall John Oates,1
Jessie's Girl,Rick Springfield,Rick Springfield,m,1981,,m,Jessie's Girl by Rick Springfield,1
Young Turks,Rod Stewart,Rod Stewart,m,1981,,m,Young Turks by Rod Stewart,1
Being With You,Smokey Robinson,Smokey Robinson,m,1981,,m,Being With You by Smokey Robinson,1
Step By Step,Eddie Rabbitt,BRUCE NOEL STEVENS,m,1981,,m,Step By Step by Eddie Rabbitt,
Arthur's Theme (Best That You Can Do),Christopher Cross,Burt Bacharach,m,1981,,m,Arthur's Theme (Best That You Can Do) by Christopher Cross,
Young Turks,Rod Stewart,Carmine Appice,m,1981,,m,Young Turks by Rod Stewart,
Celebration,Kool & The Gang,Claydes Smith,m,1981,,m,Celebration by Kool & The Gang,
Elvira,The Oak Ridge Boys,DALLAS FRAZIER,m,1981,,m,Elvira by The Oak Ridge Boys,
You Make My Dreams,Daryl Hall John Oates,DARYL F HALL,m,1981,,m,You Make My Dreams by Daryl Hall John Oates,
Step By Step,Eddie Rabbitt,DAVID E MALLOY,m,1981,,m,Step By Step by Eddie Rabbitt,
I Love A Rainy Night,Eddie Rabbitt,David Malloy,m,1981,,m,I Love A Rainy Night by Eddie Rabbitt,
The Best Of Times,Styx,Dennis DeYoung,m,1981,,m,The Best Of Times by Styx,
Celebration,Kool & The Gang,Dennis Ronald Thomas,m,1981,,m,Celebration by Kool & The Gang,
Every Woman In The World,Air Supply,DOMINIC ROY KING,m,1981,,m,Every Woman In The World by Air Supply,
Just The Two Of Us,"Grover Washington, Jr. (With Bill Withers)",DONALD RALPH MAC,m,1981,,m,"Just The Two Of Us by Grover Washington, Jr. (With Bill Withers)",
Young Turks,Rod Stewart,Duane Hitchings,m,1981,,m,Young Turks by Rod Stewart,
Celebration,Kool & The Gang,Earl Eugene Toon Jr.,m,1981,,m,Celebration by Kool & The Gang,
Step By Step,Eddie Rabbitt,EDWARD THOMAS RABBITT,m,1981,,m,Step By Step by Eddie Rabbitt,
Tryin' To Live My Life Without You,Bob Seger,Eugene Williams,m,1981,,m,Tryin' To Live My Life Without You by Bob Seger,
Celebration,Kool & The Gang,Eumir Deodato,m,1981,,m,Celebration by Kool & The Gang,
I Love A Rainy Night,Eddie Rabbitt,Even Stevens,m,1981,,m,I Love A Rainy Night by Eddie Rabbitt,
Every Woman In The World,Air Supply,FRANK MUSKER,m,1981,,m,Every Woman In The World by Air Supply,
Take It On The Run,REO Speedwagon,GARY DEAN RICHRATH,m,1981,,m,Take It On The Run by REO Speedwagon,
Passion,Rod Stewart,GARY WILLIAM GRAINGER,m,1981,,m,Passion by Rod Stewart,
Celebration,Kool & The Gang,George Melvin Brown,m,1981,,m,Celebration by Kool & The Gang,
Every Little Thing She Does Is Magic,The Police,GORDON MATTHEW SUMNER,m,1981,,m,Every Little Thing She Does Is Magic by The Police,
The One That You Love,Air Supply,Graham Russell,m,1981,,m,The One That You Love by Air Supply,
Waiting For A Girl Like You,Foreigner,GRAMM LOU,m,1981,,m,Waiting For A Girl Like You by Foreigner,
Passion,Rod Stewart,JAMES CREGAN,m,1981,,m,Passion by Rod Stewart,
Celebration,Kool & The Gang,James Warren Taylor,m,1981,,m,Celebration by Kool & The Gang,
Crying,Don McLean,Joe Melson,m,1981,,m,Crying by Don McLean,
You Make My Dreams,Daryl Hall John Oates,JOHN WILLIAM OATES,m,1981,,m,You Make My Dreams by Daryl Hall John Oates,
Who's Crying Now,Journey,Jonathan Cain,m,1981,,m,Who's Crying Now by Journey,
Start Me Up,The Rolling Stones,KEITH RICHARDS,m,1981,,m,Start Me Up by The Rolling Stones,
Keep On Loving You,REO Speedwagon,Kevin Cronin,m,1981,,m,Keep On Loving You by REO Speedwagon,
Young Turks,Rod Stewart,Kevin Savigar,m,1981,,m,Young Turks by Rod Stewart,
Passion,Rod Stewart,KEVIN STUART JAMES SAVIGAR,m,1981,,m,Passion by Rod Stewart,
Oh No,Commodores,Lionel Richie,m,1981,,m,Oh No by Commodores,
Let's Groove,"Earth, Wind & Fire",MAURICE WHITE,m,1981,,m,"Let's Groove by Earth, Wind & Fire",
Start Me Up,The Rolling Stones,MICHAEL PHILLIP JAGGER,m,1981,,m,Start Me Up by The Rolling Stones,
Urgent,Foreigner,Mick Jones,m,1981,,m,Urgent by Foreigner,
Waiting For A Girl Like You,Foreigner,Mick Jones,m,1981,,m,Waiting For A Girl Like You by Foreigner,
"Theme From \Greatest American Hero\"" (Believe It or Not)""",Joey Scarbury,MIKE POST,m,1981,,m,"Theme From \Greatest American Hero\"" (Believe It or Not)"" by Joey Scarbury",
Here I Am (Just When I Thought I Was Over You),Air Supply,NORMAN MICHAEL SALLITT,m,1981,,m,Here I Am (Just When I Thought I Was Over You) by Air Supply,
Arthur's Theme (Best That You Can Do),Christopher Cross,Peter Allen,m,1981,,m,Arthur's Theme (Best That You Can Do) by Christopher Cross,
Passion,Rod Stewart,PHILLIP DAVID CHEN,m,1981,,m,Passion by Rod Stewart,
A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio,"Ray Parker, Jr.",m,1981,,m,A Woman Needs Love (Just Like You Do) by Ray Parker Jr. & Raydio,
I Don't Need You,Kenny Rogers,Rick Christian,m,1981,,m,I Don't Need You by Kenny Rogers,
Celebration,Kool & The Gang,Robert Earl Bell,m,1981,,m,Celebration by Kool & The Gang,
Celebration,Kool & The Gang,Robert Spike Mickens,m,1981,,m,Celebration by Kool & The Gang,
Passion,Rod Stewart,RODERICK DAVID STEWART,m,1981,,m,Passion by Rod Stewart,
Celebration,Kool & The Gang,Ronald Bell,m,1981,,m,Celebration by Kool & The Gang,
Crying,Don McLean,Roy Orbison,m,1981,,m,Crying by Don McLean,
"Theme From \Greatest American Hero\"" (Believe It or Not)""",Joey Scarbury,STEPHEN G GEYER,m,1981,,m,"Theme From \Greatest American Hero\"" (Believe It or Not)"" by Joey Scarbury",
Who's Crying Now,Journey,Stephen Perry,m,1981,,m,Who's Crying Now by Journey,
(There's) No Gettin' Over Me,Ronnie Milsap,Walt Aldridge,m,1981,,m,(There's) No Gettin' Over Me by Ronnie Milsap,
Private Eyes,Daryl Hall John Oates,Warren Pash,m,1981,,m,Private Eyes by Daryl Hall John Oates,
Let's Groove,"Earth, Wind & Fire",WAYNE LEE VAUGHN,m,1981,,m,"Let's Groove by Earth, Wind & Fire",
Just The Two Of Us,"Grover Washington, Jr. (With Bill Withers)",WILLIAM HARRISON WITHERS,m,1981,,m,"Just The Two Of Us by Grover Washington, Jr. (With Bill Withers)",
Just The Two Of Us,"Grover Washington, Jr. (With Bill Withers)",WILLIAM SALTER,m,1981,,m,"Just The Two Of Us by Grover Washington, Jr. (With Bill Withers)",
Eye In The Sky,The Alan Parsons Project,ALAN PARSONS,m,1982,,m,Eye In The Sky by The Alan Parsons Project,1
Maneater,Daryl Hall John Oates,Daryl Hall,m,1982,,m,Maneater by Daryl Hall John Oates,1
Dirty Laundry,Don Henley,Don Henley,m,1982,,m,Dirty Laundry by Don Henley,1
Maneater,Daryl Hall John Oates,John Oates,m,1982,,m,Maneater by Daryl Hall John Oates,1
Truly,Lionel Richie,Lionel Richie,m,1982,,m,Truly by Lionel Richie,1
I Keep Forgettin' (Every Time You're Near),Michael McDonald,Michael McDonald,m,1982,,m,I Keep Forgettin' (Every Time You're Near) by Michael McDonald,1
Heartlight,Neil Diamond,Neil Diamond,m,1982,,m,Heartlight by Neil Diamond,1
Ebony And Ivory,Paul McCartney And Stevie Wonder,Paul McCartney,m,1982,,m,Ebony And Ivory by Paul McCartney And Stevie Wonder,1
The Other Woman,Ray Parker Jr.,Ray Parker Jr.,m,1982,,m,The Other Woman by Ray Parker Jr.,1
Don't Talk To Strangers,Rick Springfield,Rick Springfield,m,1982,,m,Don't Talk To Strangers by Rick Springfield,1
Abracadabra,The Steve Miller Band,Steve Miller,m,1982,,m,Abracadabra by The Steve Miller Band,1
That Girl,Stevie Wonder,STEVIE WONDER,m,1982,,m,That Girl by Stevie Wonder,1
Chariots Of Fire - Titles,Vangelis,Vangelis,m,1982,,m,Chariots Of Fire - Titles by Vangelis,1
867-5309/jenny,Tommy Tutone,ALEXANDER HUGHES CALL,m,1982,,m,867-5309/jenny by Tommy Tutone,
Heartlight,Neil Diamond,Burt Bacharach,m,1982,,m,Heartlight by Neil Diamond,
Who Can It Be Now?,Men At Work,Colin Hay,m,1982,,m,Who Can It Be Now? by Men At Work,
Dirty Laundry,Don Henley,Danny Kortchmar,m,1982,,m,Dirty Laundry by Don Henley,
Hard To Say I'm Sorry,Chicago,David Foster,m,1982,,m,Hard To Say I'm Sorry by Chicago,
Rosanna,Toto,David Paich,m,1982,,m,Rosanna by Toto,
I Keep Forgettin' (Every Time You're Near),Michael McDonald,Ed Sanford,m,1982,,m,I Keep Forgettin' (Every Time You're Near) by Michael McDonald,
Eye In The Sky,The Alan Parsons Project,ERIC NORMAN WOOLFSON,m,1982,,m,Eye In The Sky by The Alan Parsons Project,
Eye Of The Tiger,Survivor,Frankie Sullivan,m,1982,,m,Eye Of The Tiger by Survivor,
Heat Of The Moment,Asia,Geoff Downes,m,1982,,m,Heat Of The Moment by Asia,
Hurts So Good,John Cougar,GEORGE MICHAEL GREEN,m,1982,,m,Hurts So Good by John Cougar,
Sweet Dreams,Air Supply,GRAHAM RUSSELL,m,1982,,m,Sweet Dreams by Air Supply,
Even The Nights Are Better,Air Supply,J. L. Wallace,m,1982,,m,Even The Nights Are Better by Air Supply,
867-5309/jenny,Tommy Tutone,JAMES IRWIN KELLER,m,1982,,m,867-5309/jenny by Tommy Tutone,
Turn Your Love Around,George Benson,JAY GRAYDON,m,1982,,m,Turn Your Love Around by George Benson,
I Keep Forgettin' (Every Time You're Near),Michael McDonald,Jerry Leiber,m,1982,,m,I Keep Forgettin' (Every Time You're Near) by Michael McDonald,
Eye Of The Tiger,Survivor,Jim Peterik,m,1982,,m,Eye Of The Tiger by Survivor,
Hurts So Good,John Cougar,JOHN MELLENCAMP,m,1982,,m,Hurts So Good by John Cougar,
Jack & Diane,John Cougar,John Mellencamp,m,1982,,m,Jack & Diane by John Cougar,
Heat Of The Moment,Asia,John Wetton,m,1982,,m,Heat Of The Moment by Asia,
Open Arms,Journey,Jonathan Cain,m,1982,,m,Open Arms by Journey,
Always On My Mind,Willie Nelson,JR JOHN L CHRISTOPHER,m,1982,,m,Always On My Mind by Willie Nelson,
Let It Whip,Dazz Band,"Leon ""Ndugu"" Chancler",m,1982,,m,Let It Whip by Dazz Band,
Always On My Mind,Willie Nelson,MARK JAMES,m,1982,,m,Always On My Mind by Willie Nelson,
The Girl Is Mine,Michael Jackson And Paul McCartney,MICHAEL JOE JACKSON,m,1982,,m,The Girl Is Mine by Michael Jackson And Paul McCartney,
Hard To Say I'm Sorry,Chicago,Peter Cetera,m,1982,,m,Hard To Say I'm Sorry by Chicago,
Freeze-frame,The J. Geils Band,Peter Wolf,m,1982,,m,Freeze-frame by The J. Geils Band,
Let It Whip,Dazz Band,Reginald J. Andrews,m,1982,,m,Let It Whip by Dazz Band,
Shake It Up,The Cars,Ric Ocasek,m,1982,,m,Shake It Up by The Cars,
Centerfold,The J. Geils Band,Seth Justman,m,1982,,m,Centerfold by The J. Geils Band,
Freeze-frame,The J. Geils Band,Seth Justman,m,1982,,m,Freeze-frame by The J. Geils Band,
Open Arms,Journey,Stephen Perry,m,1982,,m,Open Arms by Journey,
Turn Your Love Around,George Benson,STEVEN LEE LUKATHER,m,1982,,m,Turn Your Love Around by George Benson,
I Keep Forgettin' (Every Time You're Near),Michael McDonald,STOLLER MIKE,m,1982,,m,I Keep Forgettin' (Every Time You're Near) by Michael McDonald,
Even The Nights Are Better,Air Supply,Terry Skinner,m,1982,,m,Even The Nights Are Better by Air Supply,
Always On My Mind,Willie Nelson,WAYNE CARSON THOMPSON,m,1982,,m,Always On My Mind by Willie Nelson,
Turn Your Love Around,George Benson,WILLIAM B CHAMPLIN,m,1982,,m,Turn Your Love Around by George Benson,
Say It Isn't So,Daryl Hall John Oates,Daryl Hall,m,1983,,m,Say It Isn't So by Daryl Hall John Oates,1
Let's Dance,David Bowie,David Bowie,m,1983,,m,Let's Dance by David Bowie,1
Union Of The Snake,Duran Duran,Duran Duran,m,1983,,m,Union Of The Snake by Duran Duran,1
Electric Avenue,Eddy Grant,Eddy Grant,m,1983,,m,Electric Avenue by Eddy Grant,1
Jeopardy,Greg Kihn Band,Greg Kihn,m,1983,,m,Jeopardy by Greg Kihn Band,1
Say Say Say,Paul McCartney And Michael Jackson,Jackson,m,1983,,m,Say Say Say by Paul McCartney And Michael Jackson,1
All Night Long (All Night),Lionel Richie,Lionel Richie,m,1983,,m,All Night Long (All Night) by Lionel Richie,1
My Love,Lionel Richie,Lionel Richie,m,1983,,m,My Love by Lionel Richie,1
You Are,Lionel Richie,Lionel Richie,m,1983,,m,You Are by Lionel Richie,1
Beat It,Michael Jackson,Michael Jackson,m,1983,,m,Beat It by Michael Jackson,1
Maniac,Michael Sembello,Michael Sembello,m,1983,,m,Maniac by Michael Sembello,1
Say Say Say,Paul McCartney And Michael Jackson,Paul McCartney,m,1983,,m,Say Say Say by Paul McCartney And Michael Jackson,1
One Thing Leads To Another,The Fixx,Agies,m,1983,,m,One Thing Leads To Another by The Fixx,
Owner Of A Lonely Heart,Yes,Anderson,m,1983,,m,Owner Of A Lonely Heart by Yes,
Hungry Like The Wolf,Duran Duran,ANDREW TAYLOR,m,1983,,m,Hungry Like The Wolf by Duran Duran,
Is There Something I Should Know,Duran Duran,Andy Taylor,m,1983,,m,Is There Something I Should Know by Duran Duran,
(she's) Sexy + 17,Stray Cats,B.Selzer,m,1983,,m,(she's) Sexy + 17 by Stray Cats,
Never Gonna Let You Go,Sergio Mendes,BARRY MANN,m,1983,,m,Never Gonna Let You Go by Sergio Mendes,
Puttin' On The Ritz,Taco,Berlin,m,1983,,m,Puttin' On The Ritz by Taco,
Hungry Like The Wolf,Duran Duran,BON SIMON JOHN LE,m,1983,,m,Hungry Like The Wolf by Duran Duran,
Do You Really Want To Hurt Me,Culture Club,Boy George,m,1983,,m,Do You Really Want To Hurt Me by Culture Club,
Time (Clock Of The Heart),Culture Club,Boy George,m,1983,,m,Time (Clock Of The Heart) by Culture Club,
Stray Cat Strut,Stray Cats,Brian Setzer,m,1983,,m,Stray Cat Strut by Stray Cats,
Too Shy,Kajagoogoo,Chris Hamill,m,1983,,m,Too Shy by Kajagoogoo,
Down Under,Men At Work,Colin Hay,m,1983,,m,Down Under by Men At Work,
Overkill,Men At Work,Colin Hay,m,1983,,m,Overkill by Men At Work,
One Thing Leads To Another,The Fixx,Curnin,m,1983,,m,One Thing Leads To Another by The Fixx,
Africa,Toto,David Paich,m,1983,,m,Africa by Toto,
Sexual Healing,Marvin Gaye,DAVID RITZ,m,1983,,m,Sexual Healing by Marvin Gaye,
Mr. Roboto,Styx,Dennis DeYoung,m,1983,,m,Mr. Roboto by Styx,
Maniac,Michael Sembello,Dennis Matkosky,m,1983,,m,Maniac by Michael Sembello,
TRUE,Spandau Ballet,G.Kemp,m,1983,,m,TRUE by Spandau Ballet,
Every Breath You Take,The Police,"Gordon \Sting\"" Matthew Thomas Sumner""",m,1983,,m,Every Breath You Take by The Police,
King Of Pain,The Police,"Gordon \Sting\"" Matthew Thomas Sumner""",m,1983,,m,King Of Pain by The Police,
One Thing Leads To Another,The Fixx,Green All,m,1983,,m,One Thing Leads To Another by The Fixx,
The Safety Dance,Men Without Hats,Ivan,m,1983,,m,The Safety Dance by Men Without Hats,
Cum On Feel The Noize,Quiet Riot,J.Lea,m,1983,,m,Cum On Feel The Noize by Quiet Riot,
Making Love Out Of Nothing At All,Air Supply,"James \Jim\"" Steinman""",m,1983,,m,Making Love Out Of Nothing At All by Air Supply,
Africa,Toto,Jeff Porcaro,m,1983,,m,Africa by Toto,
Too Shy,Kajagoogoo,Jeremy Strode,m,1983,,m,Too Shy by Kajagoogoo,
Der Kommissar,After The Fire,Johan Hoelzer,m,1983,,m,Der Kommissar by After The Fire,
Hungry Like The Wolf,Duran Duran,JOHN NIGEL TAYLOR,m,1983,,m,Hungry Like The Wolf by Duran Duran,
Is There Something I Should Know,Duran Duran,John Taylor,m,1983,,m,Is There Something I Should Know by Duran Duran,
Do You Really Want To Hurt Me,Culture Club,Jon Moss,m,1983,,m,Do You Really Want To Hurt Me by Culture Club,
Time (Clock Of The Heart),Culture Club,Jonathan Aubrey Moss,m,1983,,m,Time (Clock Of The Heart) by Culture Club,
Sexual Healing,Marvin Gaye,MARVIN P GAYE,m,1983,,m,Sexual Healing by Marvin Gaye,
Do You Really Want To Hurt Me,Culture Club,Michael Emile Craig,m,1983,,m,Do You Really Want To Hurt Me by Culture Club,
Time (Clock Of The Heart),Culture Club,Michael Emile Craig,m,1983,,m,Time (Clock Of The Heart) by Culture Club,
Billie Jean,Michael Jackson,Michael Joe Jackson,m,1983,,m,Billie Jean by Michael Jackson,
Wanna Be Startin' Somethin',Michael Jackson,MICHAEL JOE JACKSON,m,1983,,m,Wanna Be Startin' Somethin' by Michael Jackson,
Cum On Feel The Noize,Quiet Riot,N.Holder,m,1983,,m,Cum On Feel The Noize by Quiet Riot,
Hungry Like The Wolf,Duran Duran,NICHOLAS JAMES BATES,m,1983,,m,Hungry Like The Wolf by Duran Duran,
Too Shy,Kajagoogoo,Nick Beggs,m,1983,,m,Too Shy by Kajagoogoo,
Is There Something I Should Know,Duran Duran,Nick Rhodes,m,1983,,m,Is There Something I Should Know by Duran Duran,
Sexual Healing,Marvin Gaye,ODELL ELLIOTT JR BROWN,m,1983,,m,Sexual Healing by Marvin Gaye,
Cum On Feel The Noize,Quiet Riot,Pasha Associates,m,1983,,m,Cum On Feel The Noize by Quiet Riot,
Der Kommissar,After The Fire,Robert Ponger,m,1983,,m,Der Kommissar by After The Fire,
Owner Of A Lonely Heart,Yes,Robin,m,1983,,m,Owner Of A Lonely Heart by Yes,
Shame On The Moon,Bob Seger & The Silver Bullet Band,RODNEY J CROWELL,m,1983,,m,Shame On The Moon by Bob Seger & The Silver Bullet Band,
Hungry Like The Wolf,Duran Duran,ROGER ANDREW TAYLOR,m,1983,,m,Hungry Like The Wolf by Duran Duran,
Is There Something I Should Know,Duran Duran,Roger Taylor,m,1983,,m,Is There Something I Should Know by Duran Duran,
Down Under,Men At Work,Ron Strykert,m,1983,,m,Down Under by Men At Work,
Do You Really Want To Hurt Me,Culture Club,Roy Ernest Hay,m,1983,,m,Do You Really Want To Hurt Me by Culture Club,
Time (Clock Of The Heart),Culture Club,Roy Ernest Hay,m,1983,,m,Time (Clock Of The Heart) by Culture Club,
Is There Something I Should Know,Duran Duran,Simon Le Bon,m,1983,,m,Is There Something I Should Know by Duran Duran,
Owner Of A Lonely Heart,Yes,Squire Horn,m,1983,,m,Owner Of A Lonely Heart by Yes,
Too Shy,Kajagoogoo,Steve Askew,m,1983,,m,Too Shy by Kajagoogoo,
Jeopardy,Greg Kihn Band,Steve Wright,m,1983,,m,Jeopardy by Greg Kihn Band,
Too Shy,Kajagoogoo,Stuart Neale,m,1983,,m,Too Shy by Kajagoogoo,
She Blinded Me With Science,Thomas Dolby,THOMAS MORGAN ROBERTSON,m,1983,,m,She Blinded Me With Science by Thomas Dolby,
One Thing Leads To Another,The Fixx,West-Oram,m,1983,,m,One Thing Leads To Another by The Fixx,
Tell Her About It,Billy Joel,"William \Billy\"" Joel""",m,1983,,m,Tell Her About It by Billy Joel,
Uptown Girl,Billy Joel,"William \Billy\"" Joel""",m,1983,,m,Uptown Girl by Billy Joel,
One Thing Leads To Another,The Fixx,Woods,m,1983,,m,One Thing Leads To Another by The Fixx,
Caribbean Queen (No More Love On The Run),Billy Ocean,Billy Ocean,m,1984,,m,Caribbean Queen (No More Love On The Run) by Billy Ocean,1
Dancing In The Dark,Bruce Springsteen,Bruce Springsteen,m,1984,,m,Dancing In The Dark by Bruce Springsteen,1
Miss Me Blind,Culture Club,Culture Club,m,1984,,m,Miss Me Blind by Culture Club,1
Out Of Touch,Daryl Hall John Oates,Daryl Hall,m,1984,,m,Out Of Touch by Daryl Hall John Oates,1
The Wild Boys,Duran Duran,Duran Duran,m,1984,,m,The Wild Boys by Duran Duran,1
I Guess That's Why They Call It The Blues,Elton John,Elton John,m,1984,,m,I Guess That's Why They Call It The Blues by Elton John,1
Sad Songs (say So Much),Elton John,Elton John,m,1984,,m,Sad Songs (say So Much) by Elton John,1
Eyes Without A Face,Billy Idol,Idol,m,1984,,m,Eyes Without A Face by Billy Idol,1
Out Of Touch,Daryl Hall John Oates,John Oates,m,1984,,m,Out Of Touch by Daryl Hall John Oates,1
Missing You,John Waite,John Waite,m,1984,,m,Missing You by John Waite,1
Hello,Lionel Richie,Lionel Richie,m,1984,,m,Hello by Lionel Richie,1
Stuck On You,Lionel Richie,Lionel Richie,m,1984,,m,Stuck On You by Lionel Richie,1
Against All Odds (Take A Look At Me Now),Phil Collins,Phil Collins,m,1984,,m,Against All Odds (Take A Look At Me Now) by Phil Collins,1
Love Somebody,Rick Springfield,Rick Springfield,m,1984,,m,Love Somebody by Rick Springfield,1
